Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//create,86,0,20,40.1702476743848,8.171299999958137,223.44999999950232,45.0,10.674632099547866,0.0,21,39,55,66,97,120,170,220,220,220,220
DELETE,//delete/583,1,0,113.80289999942761,113.80289999942761,113.80289999942761,113.80289999942761,45.0,0.12412362906451008,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,//delete/584,1,0,178.23659999885422,178.23659999885422,178.23659999885422,178.23659999885422,45.0,0.12412362906451008,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,//delete/585,1,0,11.834999999337015,11.834999999337015,11.834999999337015,11.834999999337015,45.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,//delete/586,1,0,11.87489999938407,11.87489999938407,11.87489999938407,11.87489999938407,45.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,//delete/591,1,0,11.573100000532577,11.573100000532577,11.573100000532577,11.573100000532577,45.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,//delete/592,1,0,11.53619999968214,11.53619999968214,11.53619999968214,11.53619999968214,45.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,//delete/593,1,0,26.62899999995716,26.62899999995716,26.62899999995716,26.62899999995716,45.0,0.12412362906451008,0.0,27,27,27,27,27,27,27,27,27,27,27
DELETE,//delete/601,1,0,10.784200001580757,10.784200001580757,10.784200001580757,10.784200001580757,45.0,0.12412362906451008,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/602,1,0,44.90749999968102,44.90749999968102,44.90749999968102,44.90749999968102,45.0,0.12412362906451008,0.0,45,45,45,45,45,45,45,45,45,45,45
DELETE,//delete/603,1,0,29.589499999929103,29.589499999929103,29.589499999929103,29.589499999929103,45.0,0.12412362906451008,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,//delete/604,1,0,10.990400000082445,10.990400000082445,10.990400000082445,10.990400000082445,45.0,0.12412362906451008,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/610,1,0,16.692900000634836,16.692900000634836,16.692900000634836,16.692900000634836,45.0,0.12412362906451008,0.0,17,17,17,17,17,17,17,17,17,17,17
DELETE,//delete/617,1,0,9.940699999788194,9.940699999788194,9.940699999788194,9.940699999788194,45.0,0.12412362906451008,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,//delete/632,1,0,11.356499999237712,11.356499999237712,11.356499999237712,11.356499999237712,45.0,0.12412362906451008,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/645,1,0,20.719699999972363,20.719699999972363,20.719699999972363,20.719699999972363,45.0,0.12412362906451008,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,//read,110,0,14,24.16601545458186,8.370600000489503,141.43979999971634,58325.972727272725,13.653599197096108,0.0,14,21,28,32,44,75,110,130,140,140,140
GET,//read/583,1,0,11.68110000071465,11.68110000071465,11.68110000071465,11.68110000071465,111.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,//read/584,2,0,6.211800000528456,6.67059999977937,6.211800000528456,7.129399999030284,111.0,0.24824725812902015,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,//read/590,1,0,34.15279999899212,34.15279999899212,34.15279999899212,34.15279999899212,108.0,0.12412362906451008,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,//read/591,1,0,9.632900000724476,9.632900000724476,9.632900000724476,9.632900000724476,111.0,0.12412362906451008,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,//read/592,1,0,6.029900001522037,6.029900001522037,6.029900001522037,6.029900001522037,111.0,0.12412362906451008,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,//read/593,1,0,6.6853999996965285,6.6853999996965285,6.6853999996965285,6.6853999996965285,108.0,0.12412362906451008,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,//read/596,1,0,8.68850000006205,8.68850000006205,8.68850000006205,8.68850000006205,111.0,0.12412362906451008,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,//read/601,1,0,19.21519999996235,19.21519999996235,19.21519999996235,19.21519999996235,111.0,0.12412362906451008,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,//read/604,1,0,8.473699999740347,8.473699999740347,8.473699999740347,8.473699999740347,108.0,0.12412362906451008,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,//read/607,2,0,12,12.166600000455219,11.605100000451785,12.728100000458653,103.0,0.24824725812902015,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,//read/608,1,0,9.58820000050764,9.58820000050764,9.58820000050764,9.58820000050764,103.0,0.12412362906451008,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,//read/609,1,0,25.112500001341687,25.112500001341687,25.112500001341687,25.112500001341687,111.0,0.12412362906451008,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,//read/610,1,0,27.73720000004687,27.73720000004687,27.73720000004687,27.73720000004687,111.0,0.12412362906451008,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,//read/613,2,0,7.286099998964346,21.80454999961512,7.286099998964346,36.32300000026589,111.0,0.24824725812902015,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,//read/615,1,0,8.759599999393686,8.759599999393686,8.759599999393686,8.759599999393686,111.0,0.12412362906451008,0.0,9,9,9,9,9,9,9,9,9,9,9
