Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//api/create,59,0,490.0,555.5797389831041,187.27319999925385,1670.940600000904,0.0,7.597462354076763,0.0,490,640,750,770,880,980,1300,1700,1700,1700,1700
DELETE,//api/delete/2a3b9adf-f6a8-4ea7-9e35-1dd26ba002b1,1,0,464.7166000013385,464.7166000013385,464.7166000013385,464.7166000013385,0.0,0.12877054837418242,0.0,460,460,460,460,460,460,460,460,460,460,460
DELETE,//api/delete/312032bd-b0e2-42c9-bbff-048f461f0e42,1,0,1143.5607999992499,1143.5607999992499,1143.5607999992499,1143.5607999992499,0.0,0.12877054837418242,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
DELETE,//api/delete/8587eb85-9915-4b84-858d-adfabc60436e,1,0,262.0740000002115,262.0740000002115,262.0740000002115,262.0740000002115,0.0,0.12877054837418242,0.0,260,260,260,260,260,260,260,260,260,260,260
DELETE,//api/delete/a2900564-f56c-4dc9-b12d-eb21448d4e00,1,0,700.6940999999642,700.6940999999642,700.6940999999642,700.6940999999642,0.0,0.12877054837418242,0.0,700,700,700,700,700,700,700,700,700,700,700
GET,//api/read,60,0,520.0,577.660778333302,190.8201000005647,1268.8152999999147,173881.05,7.7262329024509455,0.0,540,660,850,960,1100,1200,1200,1300,1300,1300,1300
GET,//api/read/5af9b36b-f6b0-4bf7-b30e-207a0fc28ad5,1,0,1254.4902999998158,1254.4902999998158,1254.4902999998158,1254.4902999998158,132.0,0.12877054837418242,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,//api/read/5efbcb3f-6463-48aa-a9d1-bbba4233c9ad,1,0,962.4899000009464,962.4899000009464,962.4899000009464,962.4899000009464,132.0,0.12877054837418242,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,//api/read/62182b30-34fc-4511-ad87-343ff82ed076,1,0,150.93609999894397,150.93609999894397,150.93609999894397,150.93609999894397,132.0,0.12877054837418242,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,//api/read/6849e63f-c776-4e46-9473-c636a7bb07d6,2,0,244.3940000011935,268.0804999999964,244.3940000011935,291.7669999987993,132.0,0.25754109674836484,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,//api/read/c0c81ebd-e6a0-40df-87bc-f3906ada7fa0,1,0,477.4471000000631,477.4471000000631,477.4471000000631,477.4471000000631,132.0,0.12877054837418242,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,//api/read/d19c3d53-a506-458e-b824-b126becf9ac4,1,0,315.0800999992498,315.0800999992498,315.0800999992498,315.0800999992498,132.0,0.12877054837418242,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,//api/read/ef520a9b-6d28-4516-ad19-f39b09bd6252,2,0,430.0,436.89364999954705,429.59009999867703,444.19720000041707,132.0,0.25754109674836484,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,//api/read/f3930494-9c48-4d44-9e48-19e5801cd41b,1,0,794.5316999994247,794.5316999994247,794.5316999994247,794.5316999994247,132.0,0.12877054837418242,0.0,790,790,790,790,790,790,790,790,790,790,790
GET,//api/read/f8b7244a-3b05-4765-a510-d51f0077ad22,1,0,967.8811000012502,967.8811000012502,967.8811000012502,967.8811000012502,132.0,0.12877054837418242,0.0,970,970,970,970,970,970,970,970,970,970,970
